Mission,Launch site / base (or coordinates),Destination station,Launch (UTC),Mission duration,Landing site (or coordinates),Rocket type,Source URL
Soyuz 11,"Baikonur , Site 1/5",,"04:55:09, 6 June 1971 (UTC) ( 1971-06-06T04:55:09Z )","23 days, 18 hours, 21 minutes, 43 seconds","90 km (56 mi) southwest of Karazhal , Karaganda Oblast , Kazakh SSR , Soviet Union ( 47°21′23″N 70°07′16″E ﻿ / ﻿ 47.35639°N 70.12111°E ﻿ / 47.35639; 70.12111 ) (47.35639; 70.12111)",Soyuz,https://en.wikipedia.org/wiki/Soyuz%2011
Soyuz 17,"Baikonur , Site 1/5",,"10 January 1975, 21:43:37 UTC",29 days 13 hours 19 minutes 45 seconds,"110 km at the northeast of Tselinograd , Kazakhstan",Soyuz,https://en.wikipedia.org/wiki/Soyuz%2017
Soyuz 8,"Baikonur , Site 31/6",,"13 October 1969, 10:19:09 GMT",4 days 22 hours 50 minutes 49 seconds,"Kazakh Steppe , Kazakhstan",Soyuz,https://en.wikipedia.org/wiki/Soyuz%208
Soyuz TM4/3,,,,,,,
Soyuz 6,"Baikonur , Site 31/6",,"11 October 1969, 11:10:00 GMT",4 days 22 hours 42 minutes 47 seconds,"180 km at northwest of Karaganda , Kazakhstan",Soyuz,https://en.wikipedia.org/wiki/Soyuz%206
Soyuz 12,"Baikonur , Site 1/5",,"27 September 1973, 12:18:16 UTC",1 day 23 hours 15 minutes 32 seconds,"400 km at the southwest of Karaganda , Kazakhstan",Soyuz,https://en.wikipedia.org/wiki/Soyuz%2012
STS-19,,,,,,,
Soyuz 15,Baikonur 1/5,,"26 August 1974, 19:58:05 UTC","2 days, 12 minutes",48 km (30 mi) at the southwest of Tselinograd,Soyuz 11A511,https://en.wikipedia.org/wiki/Soyuz%2015
Soyuz 9,"Baikonur , Site 31/6",,"1 June 1970, 19:00:00 GMT","17 days, 16 hours, 58 minutes, 55 seconds",Steppes in Kazakhstan,Soyuz,https://en.wikipedia.org/wiki/Soyuz%209
STS60,"Kennedy , LC-39A",,"February 3, 1994, 12:10:00 UTC","8 days, 7 hours, 9 minutes, 22 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS%2060
